order_id,created_date,total_paid,state
241319,2017-01-02 13:35:40,44.99,Cancelled
241423,2017-11-06 13:10:02,136.15,Completed
242832,2017-12-31 17:40:03,15.76,Completed
243330,2017-02-16 10:59:38,84.98,Completed
243784,2017-11-24 13:35:19,157.86,Cancelled
245275,2017-06-28 11:35:37,149.0,Completed
245595,2017-01-21 12:52:47,112.97,Completed
245851,2017-04-04 20:58:21,79.99,Pending
245941,2017-01-01 10:32:23,183.52,Completed
246018,2017-02-13 23:02:57,211.95,Completed
246405,2017-11-24 10:01:27,407.96,Completed
247524,2018-01-09 14:21:34,167.98,Completed
247643,2017-05-26 11:50:35,153.54,Completed
250275,2017-11-19 22:34:54,54.99,Completed
251302,2017-05-10 12:27:33,140.99,Completed
251688,2017-11-24 23:57:07,505.76,Completed
251969,2017-11-21 21:04:12,610.07,Completed
252371,2017-02-09 12:31:57,27.98,Pending
253220,2017-10-04 19:37:10,1610.0,Completed
253306,2017-10-04 14:14:45,497.68,Completed
253307,2017-09-30 06:11:10,292.04,Completed
254301,2017-01-08 13:10:53,35.91,Completed
254341,2017-07-31 10:25:35,34.98,Completed
254441,2017-05-09 14:00:45,56.98,Completed
254537,2017-05-23 19:58:30,102.97,Pending
254816,2017-01-12 15:57:20,283.83,Completed
256158,2017-08-05 19:51:20,386.18,Completed
256434,2018-02-26 07:32:21,39.99,Pending
256679,2017-11-26 10:43:04,20.58,Completed
256799,2018-02-16 09:44:42,20.97,Completed
257280,2017-12-20 14:49:52,260.0,Completed
257847,2017-11-23 23:46:54,1367.11,Completed
258087,2017-02-28 19:15:24,84.73,Pending
258155,2018-01-22 18:51:50,40.76,Completed
258530,2017-08-30 10:54:18,7.78,Completed
258985,2017-07-31 12:52:38,2264.6,Completed
259192,2017-11-09 11:15:51,195.74,Completed
259283,2017-12-22 09:19:28,24.98,Completed
259359,2017-04-27 17:59:43,159.99,Pending
259638,2017-03-02 20:12:59,387.6,Pending
259668,2017-10-06 22:06:58,1132.33,Completed
259672,2017-02-22 19:09:49,322.99,Pending
260615,2017-01-10 18:59:49,225.16,Completed
261289,2017-06-21 08:21:20,192.98,Completed
261656,2017-08-24 19:28:24,44.98,Completed
261978,2017-01-10 00:19:44,109.98,Completed
262016,2017-08-18 01:05:38,3109.57,Completed
262236,2017-06-05 10:02:29,122.97,Completed
263733,2017-02-06 13:06:34,372.98,Completed
263738,2017-08-16 17:05:25,80.96,Completed
263996,2017-02-20 09:44:55,156.98,Completed
264244,2018-01-29 15:33:06,141.97,Completed
265614,2017-01-16 15:40:05,147.48,Completed
265951,2017-01-26 12:08:46,121.46,Completed
265954,2017-10-02 15:18:15,127.02,Completed
265968,2017-09-04 18:32:57,470.33,Completed
266727,2017-01-30 15:03:51,150.02,Completed
267014,2017-11-22 12:00:54,302.39,Completed
267194,2017-12-19 21:22:34,75.98,Completed
